IATA,Continent,Latitude,Longitude
RMS,Europe,49.4369010925293,7.600279808044434
GHF,Europe,49.6481018066,9.966489791870002
ZCN,Europe,52.59120178222656,10.022100448608398
FRZ,Europe,51.1146,9.286
ZNF,Europe,50.169201,8.96159
KZG,Europe,49.743099,10.2006
FCN,Europe,53.7677001953,8.658499717709999
GKE,Europe,50.9608,6.04242
RLG,Europe,53.9182014465,12.2783002853
WBG,Europe,54.459301,9.51633
WIE,Europe,50.049800872802734,8.325400352478027
FEL,Europe,48.205555,11.266944
IGS,Europe,48.7156982421875,11.534000396728516
GUT,Europe,51.922798,8.30633
ALJ,Africa,-28.575001,16.5333
AGZ,Africa,-29.28179931640625,18.813899993896484
BIY,Africa,-32.8970985413,27.2791004181
BFN,Africa,-29.0926990509,26.302400589
CPT,Africa,-33.9648017883,18.6016998291
DUR,Africa,-29.6144444444,31.1197222222
ELS,Africa,-33.0355987549,27.8258991241
FCB,Africa,-28.82309913635254,27.908899307250977
GCJ,Africa,-25.986299514799995,28.1401004791
GRJ,Africa,-34.0056,22.378902
HRS,Africa,-28.23509979248047,29.106199264526367
HDS,Africa,-24.3686008453,31.0487003326
JNB,Africa,-26.1392,28.246
KXE,Africa,-26.8710994720459,26.718000411987305
KIM,Africa,-28.802799224900003,24.7651996613
KMH,Africa,-27.45669937133789,23.411399841308597
KLZ,Africa,-29.6884002686,17.093999862700002
HLA,Africa,-25.9384994507,27.9260997772
SDB,Africa,-32.9688987732,18.1602993011
LAY,Africa,-28.5816993713,29.7497005463
